code,cum_adjf
1,100000
10,100000
100,100000
11,100000
12,100000
14,100000
150,100000
151,100000
153,100000
155,100000
156,100000
157,100000
158,100000
159,100000
16,100000
166,100000
1696,100000
17,100000
18,100000
1872,100000
1896,100000
19,100000
1965,100000
1979,100000
2,100000
20,100000
2001,100000
2002,100000
2003,100000
2004,100000
2005,100000
2006,100000
2007,100000
2008,100000
2009,100000
2010,100000
2011,100000
2012,100000
2013,100000
2014,100000
2015,100000
2016,100000
2017,100000
2018,100000
2019,100000
2020,100000
2021,100000
2022,100000
2023,100000
2024,100000
2025,100000
2026,100000
2027,100000
2028,100000
2029,100000
2030,100000
2031,100000
2032,100000
2033,100000
2034,100000
2035,100000
2036,100000
2037,100000
2038,100000
2039,100000
2040,100000
2041,100000
2042,100000
2043,100000
2044,100000
2045,100000
2046,100000
2047,100000
2048,100000
2049,100000
2050,100000
2051,100000
2052,100000
2053,100000
2054,100000
2055,100000
2056,100000
2057,100000
2058,100000
2059,100000
2060,100000
2061,100000
2062,100000
2063,100000
2064,100000
2065,100000
2066,100000
2067,100000
2068,100000
2069,100000
2070,100000
2071,100000
2072,100000
2073,100000
2074,100000
2075,100000
2076,100000
2077,100000
2078,100000
2079,100000
2080,100000
2081,100000
2082,100000
2083,100000
2084,100000
2085,100000
2086,100000
2087,100000
2088,100000
2089,100000
2090,100000
2091,100000
2092,100000
2093,100000
2094,100000
2095,100000
2096,100000
2097,100000
2098,100000
2099,100000
21,100000
2100,100000
2101,100000
2102,100000
2103,100000
2104,100000
2105,100000
2106,100000
2107,100000
2108,100000
2109,100000
2110,100000
2111,100000
2112,100000
2113,100000
2114,100000
2115,100000
2116,100000
2117,100000
2118,100000
2119,100000
2120,100000
2121,100000
2122,100000
2123,100000
2124,100000
2125,100000
2126,100000
2127,100000
2128,100000
2129,100000
2130,100000
2131,100000
2132,100000
2133,100000
2134,100000
2135,100000
2136,100000
2137,100000
2138,100000
2139,100000
2140,100000
2141,100000
2142,100000
2143,100000
2144,100000
2145,100000
2146,100000
2147,100000
2148,100000
2149,100000
2150,100000
2151,100000
2152,100000
2153,100000
2154,100000
2155,100000
2156,100000
2157,100000
2158,100000
2159,100000
2160,100000
2161,100000
2162,100000
2163,100000
2164,100000
2165,100000
