code,up_limit,down_limit
000001,11.2,9.16
000002,27.45,22.46
000004,18.88,15.44
000005,3.21,2.63
000006,5.83,4.77
000007,9.08,7.43
000008,4.38,3.58
000009,5.41,4.43
000010,5.02,4.1
000011,10.86,8.88
000012,4.66,3.82
000014,10.21,8.35
000016,4.03,3.29
000017,5.08,4.16
000018,2.82,2.3
000019,8.25,6.75
000020,11.75,9.61
000021,6.75,5.53
000023,13.85,11.33
000025,29.48,24.12
000026,8.27,6.77
000027,5.93,4.85
000028,47.49,38.85
000029,12.29,10.05
000030,4.32,3.54
000031,5.59,4.57
000032,8.07,6.61
000034,16.34,13.37
000035,4.83,3.95
000036,6.44,5.27
000037,5.47,4.47
000038,17.01,13.91
000039,12.22,10.0
000040,9.8,8.02
000042,13.39,10.95
000043,8.98,7.34
000045,6.46,5.28
000046,5.57,4.55
000048,22.67,20.51
000049,31.52,25.79
000050,11.64,9.52
000055,4.8,3.92
000056,6.72,5.5
000058,7.16,5.86
000059,6.75,5.53
000060,4.54,3.72
000061,5.42,4.44
000062,20.63,16.88
000063,23.09,18.89
000065,9.83,8.05
000066,5.87,4.81
000068,4.48,3.66
000069,6.63,5.43
000070,8.32,6.8
000078,3.7,3.02
000088,5.49,4.49
000089,8.49,6.95
000090,5.69,4.65
000096,10.34,8.46
000099,6.49,5.31
000100,2.7,2.21
000150,16.31,13.35
000151,12.05,9.86
000153,6.42,5.26
000155,4.36,3.56
000156,9.81,8.03
000157,3.95,3.23
000158,5.83,4.77
000159,5.05,4.13
000166,4.87,3.99
000301,6.03,4.93
000333,43.63,35.69
000338,8.18,6.7
000400,9.87,8.07
000401,12.98,10.62
000402,7.61,6.23
000403,28.68,23.46
000404,4.72,3.86
000407,4.26,3.48
000408,12.42,10.16
000409,4.91,4.45
000410,7.19,5.89
000411,13.87,11.35
000413,5.24,4.28
000415,4.27,3.49
000416,4.95,4.05
000417,5.24,4.28
000418,51.51,42.15
000419,4.88,4.0
000420,2.2,1.8
000421,5.02,4.1
000422,2.92,2.64
000423,48.76,39.9
000425,3.6,2.94
000426,5.31,4.35
000428,3.06,2.5
000429,8.28,6.78
000430,6.06,4.96
000488,6.52,5.34
000498,5.41,4.43
000501,10.97,8.97
000502,8.84,7.24
000503,20.98,17.16
000504,15.08,12.34
000505,6.71,5.49
000506,4.17,3.41
000507,8.0,6.54
000509,3.58,2.93
000510,4.8,3.92
000513,35.45,29.01
000514,4.37,3.57
000516,5.53,4.53
000517,2.62,2.14
000518,4.06,3.32
000519,7.4,6.06
000520,3.33,2.73
000521,4.22,3.46
000523,4.76,3.9
000524,8.11,6.63
000525,15.69,12.83
000526,23.11,18.91
000528,7.47,6.11
000529,5.49,4.49
000530,3.82,3.12
000531,5.57,4.55
000532,12.8,10.48
000533,3.74,3.06
000534,11.5,9.41
000536,2.44,2.0
000537,8.38,6.86
000538,77.8,63.66
000539,4.42,3.62
000540,5.36,4.38
000541,5.95,4.87
000543,4.96,4.06
000544,5.69,4.65
000545,3.97,3.25
000546,9.5,7.78
000547,9.15,7.49
000548,4.88,4.0
000550,11.42,9.34
000551,6.29,5.15
000552,2.95,2.41
000553,11.1,9.08
000554,5.54,4.54
000555,11.79,9.65
000557,4.17,3.41
000558,3.48,2.84
000559,6.02,4.92
000560,6.39,5.23
000561,6.33,5.18
000563,3.18,2.6
000564,3.11,2.55
000565,5.24,4.28
000566,6.96,5.7
000567,13.65,11.17
000568,43.76,35.8
000570,4.31,3.53
000571,3.64,2.98
000572,2.65,2.17
000573,3.63,2.97
000576,8.22,6.72
000581,20.06,16.42
000582,9.21,7.53
000584,8.16,6.68
000585,2.19,1.99
000586,10.18,8.33
000587,3.01,2.47
000589,3.91,3.2
000590,8.51,6.97
000591,3.43,2.81
000592,3.59,2.93
000593,8.49,6.95
000595,3.39,2.77
000596,59.38,48.58
000597,12.72,10.4
000598,4.66,3.82
000599,4.36,3.56
000600,5.37,4.39
000601,4.25,3.47
000603,8.62,7.06
000605,10.13,8.29
000606,7.4,6.06
000607,4.98,4.08
000608,5.93,4.85
000609,6.29,5.15
000610,8.76,7.16
000611,7.51,6.15
000612,4.42,3.62
000613,8.25,6.75
000615,6.15,5.03
000616,3.07,2.51
000617,11.91,9.75
000619,6.29,5.15
000620,4.57,3.74
000622,9.13,7.47
000623,17.09,13.99
000625,6.83,5.59
000626,7.94,6.5
000627,6.6,5.4
000628,11.83,9.68
000629,3.72,3.04
