code,name
000001,平安银行
000002,万科A
000060,中金岭南
000063,中兴通讯
000069,华侨城A
000100,TCL科技
000157,中联重科
000166,申万宏源
000333,美的集团
000338,潍柴动力
000402,金融街
000413,东旭光电
000415,渤海租赁
000423,东阿阿胶
000425,徐工机械
000503,国新健康
000538,云南白药
000540,中天金融
000559,万向钱潮
000568,泸州老窖
000623,吉林敖东
000625,长安汽车
000627,天茂集团
000630,铜陵有色
000651,格力电器
000671,阳光城
000709,河钢股份
000723,美锦能源
000725,京东方A
000728,国元证券
000768,中航西飞
000776,广发证券
000783,长江证券
000786,北新建材
000792,*ST盐湖
000826,启迪环境
000839,中信国安
000858,五粮液
000876,新希望
000895,双汇发展
000898,鞍钢股份
000938,紫光股份
000959,首钢股份
000961,中南建设
000963,华东医药
000983,山西焦煤
001965,招商公路
001979,招商蛇口
002007,华兰生物
002008,大族激光
002024,苏宁易购
002027,分众传媒
002044,美年健康
002050,三花智控
002065,东华软件
002074,国轩高科
002081,金螳螂
002085,万丰奥威
002142,宁波银行
002146,荣盛发展
002153,石基信息
002202,金风科技
002230,科大讯飞
002236,大华股份
002241,歌尔股份
002252,上海莱士
002294,信立泰
002304,洋河股份
002310,东方园林
002352,顺丰控股
002385,大北农
002411,延安必康
002415,海康威视
002450,*ST康得
002456,欧菲光
002460,赣锋锂业
002466,天齐锂业
002468,申通快递
002470,*ST金正
002475,立讯精密
002493,荣盛石化
002500,山西证券
002508,老板电器
002555,三七互娱
002558,巨人网络
002572,索菲亚
002594,比亚迪
002601,龙蟒佰利
002602,世纪华通
002608,江苏国信
002624,完美世界
002625,光启技术
002673,西部证券
002714,牧原股份
002736,国信证券
002739,万达电影
002797,第一创业
002925,盈趣科技
300003,乐普医疗
300015,爱尔眼科
300017,网宿科技
300024,机器人
300027,华谊兄弟
300033,同花顺
300059,东方财富
300070,碧水源
300072,三聚环保
300122,智飞生物
300124,汇川技术
300136,信维通信
300144,宋城演艺
300251,光线传媒
300408,三环集团
300433,蓝思科技
600000,浦发银行
600008,首创股份
600009,上海机场
600010,包钢股份
600011,华能国际
600015,华夏银行
600016,民生银行
600018,上港集团
600019,宝钢股份
600023,浙能电力
600025,华能水电
600028,中国石化
600029,南方航空
600030,中信证券
600031,三一重工
600036,招商银行
600038,中直股份
600048,保利地产
600050,中国联通
600061,国投资本
600066,宇通客车
600068,葛洲坝
600085,同仁堂
600089,特变电工
600100,同方股份
600104,上汽集团
600109,国金证券
600111,北方稀土
600115,东方航空
600118,中国卫星
600153,建发股份
600157,ST永泰
600170,上海建工
600176,中国巨石
600177,雅戈尔
600188,兖州煤业
600196,复星医药
600208,新湖中宝
600219,南山铝业
600221,*ST海航
600233,圆通速递
600271,航天信息
600276,恒瑞医药
600297,广汇汽车
600309,万华化学
600332,白云山
600339,中油工程
600340,华夏幸福
600346,恒力石化
600352,浙江龙盛
600362,江西铜业
600369,西南证券
600372,中航电子
600373,中文传媒
600376,首开股份
600383,金地集团
600390,五矿资本
600398,海澜之家
600406,国电南瑞
600415,小商品城
600436,片仔癀
600438,通威股份
600482,中国动力
600487,亨通光电
600489,中金黄金
600498,烽火通信
600516,方大炭素
600518,ST康美
600519,贵州茅台
600522,中天科技
600535,天士力
600547,山东黄金
600549,厦门钨业
600570,恒生电子
600583,海油工程
600585,海螺水泥
600588,用友网络
600606,绿地控股
600637,东方明珠
600660,福耀玻璃
600663,陆家嘴
600674,川投能源
600682,南京新百
600688,上海石化
600690,海尔智家
600703,三安光电
600704,物产中大
600705,中航资本
600739,辽宁成大
600741,华域汽车
600795,国电电力
600804,鹏博士
600809,山西汾酒
600816,*ST安信
600820,隧道股份
600837,海通证券
600867,通化东宝
600886,国投电力
600887,伊利股份
600893,航发动力
600900,长江电力
600909,华安证券
600919,江苏银行
600926,杭州银行
600958,东方证券
600959,江苏有线
600977,中国电影
600999,招商证券
601006,大秦铁路
601009,南京银行
601012,隆基股份
601018,宁波港
601021,春秋航空
601088,中国神华
601099,太平洋
601108,财通证券
601111,中国国航
601117,中国化学
601155,新城控股
601166,兴业银行
601169,北京银行
601186,中国铁建
601198,东兴证券
601211,国泰君安
601212,白银有色
601216,君正集团
601225,陕西煤业
601228,广州港
601229,上海银行
601238,广汽集团
601288,农业银行
601318,中国平安
601328,交通银行
601333,广深铁路
601336,新华保险
601360,三六零
601377,兴业证券
601390,中国中铁
601398,工商银行
601555,东吴证券
601600,中国铝业
601601,中国太保
601607,上海医药
601611,中国核建
601618,中国中冶
601628,中国人寿
601633,长城汽车
601668,中国建筑
601669,中国电建
601688,华泰证券
601718,际华集团
601727,上海电气
601766,中国中车
601788,光大证券
601800,中国交建
601808,中海油服
601818,光大银行
601828,美凯龙
601838,成都银行
601857,中国石油
601866,中远海发
601877,正泰电器
601878,浙商证券
601881,中国银河
601888,中国中免
601898,中煤能源
601899,紫金矿业
601901,方正证券
601919,中远海控
601933,永辉超市
601939,建设银行
601958,金钼股份
601985,中国核电
601988,中国银行
601989,中国重工
601991,大唐发电
601992,金隅集团
601997,贵阳银行
601998,中信银行
603160,汇顶科技
603260,合盛硅业
603288,海天味业
603799,华友钴业
603833,欧派家居
603858,步长制药
603993,洛阳钼业
