code,name
000011,深物业A
000016,深康佳A
000018,神城A退
000030,富奥股份
000034,神州数码
000035,中国天楹
000036,华联控股
000038,深大通
000040,东旭蓝天
000055,方大集团
000056,皇庭国际
000058,深赛格
000059,华锦股份
000065,北方国际
000070,特发信息
000088,盐田港
000150,宜华健康
000151,中成股份
000155,川能动力
000301,东方盛虹
000404,长虹华意
000407,胜利股份
000429,粤高速A
000498,山东路桥
000506,中润资源
000507,珠海港
000514,渝开发
000516,国际医学
000517,荣安地产
000520,长航凤凰
000525,ST红太阳
000532,华金资本
000533,顺钠股份
000544,中原环保
000545,金浦钛业
000546,金圆股份
000550,江铃汽车
000555,神州信息
000558,莱茵体育
000560,我爱我家
000561,烽火电子
000571,ST大洲
000576,甘化科工
000582,北部湾港
000584,哈工智能
000591,太阳能
000592,平潭发展
000601,韶能股份
000603,盛达资源
000615,奥园美谷
000620,新华联
000626,远大控股
000631,顺发恒业
000639,西王食品
000650,仁和药业
000657,中钨高新
000665,湖北广电
000666,经纬纺机
000672,上峰水泥
000673,*ST当代
000676,智度股份
000683,远兴能源
000687,*ST华讯
000688,国城矿业
000697,炼石航空
000700,模塑科技
000701,厦门信达
000710,贝瑞基因
000711,京蓝科技
000722,湖南发展
000731,四川美丰
000733,振华科技
000735,罗牛山
000739,普洛药业
000751,锌业股份
000789,万年青
000791,甘肃电投
000793,华闻集团
000795,英洛华
000796,凯撒旅业
000797,中国武夷
000799,酒鬼酒
000800,一汽解放
000801,四川九洲
000802,ST北文
000810,创维数字
000811,冰轮环境
000815,美利云
000818,航锦科技
000820,*ST节能
000821,京山轻机
000822,山东海化
000828,东莞控股
000831,五矿稀土
000836,富通信息
000837,秦川机床
000838,财信发展
000851,高鸿股份
000869,张裕A
000875,吉电股份
000881,中广核技
000882,华联股份
000883,湖北能源
000885,城发环境
000889,中嘉博创
000892,欢瑞世纪
000901,航天科技
000902,新洋丰
000905,厦门港务
000910,大亚圣象
000913,钱江摩托
000915,华特达因
000917,电广传媒
000918,嘉凯城
000921,海信家电
000923,河钢资源
000925,众合科技
000927,中国铁物
000928,中钢国际
000933,神火股份
000935,四川双马
000936,华西股份
000951,中国重汽
000957,中通客车
000958,东方能源
000965,天保基建
000967,盈峰环境
000968,蓝焰控股
000971,ST高升
000973,佛塑科技
000976,华铁股份
000977,浪潮信息
000989,九芝堂
000996,中国中期
001896,豫能控股
001914,招商积余
002003,伟星股份
002005,ST德豪
002016,世荣兆业
002020,京新药业
002022,科华生物
002023,海特高新
002025,航天电器
002031,巨轮智能
002033,丽江股份
002035,华帝股份
002036,联创电子
002042,华孚时尚
002043,兔宝宝
002047,宝鹰股份
002053,云南能投
002055,得润电子
002060,粤水电
002061,浙江交科
002067,景兴纸业
002068,黑猫股份
002071,长城退
002073,软控股份
002079,苏州固锝
002080,中材科技
002086,*ST东洋
002089,ST新海
002091,江苏国泰
002094,青岛金王
002095,生意宝
002097,山河智能
002099,海翔药业
002101,广东鸿图
002104,恒宝股份
002108,沧州明珠
002113,ST天润
002115,三维通信
002117,东港股份
002121,科陆电子
002124,天邦股份
002126,银轮股份
002130,沃尔核材
002135,东南网架
002137,实益达
002138,顺络电子
002139,拓邦股份
002141,贤丰控股
002143,印纪退
002145,中核钛白
002148,北纬科技
002151,北斗星通
002156,通富微电
002157,正邦科技
002158,汉钟精机
002166,莱茵生物
002167,东方锆业
002168,惠程科技
002171,楚江新材
002178,延华智能
002182,云海金属
002185,华天科技
002192,融捷股份
002196,方正电机
002197,证通电子
002203,海亮股份
002204,大连重工
002206,海利得
002210,*ST飞马
002215,诺普信
002218,拓日新能
002219,*ST恒康
002222,福晶科技
002224,三力士
002226,江南化工
002229,鸿博股份
002232,启明信息
002234,民和股份
002235,安妮股份
002237,恒邦股份
002239,奥特佳
002240,盛新锂能
002245,蔚蓝锂芯
002246,北化股份
002247,聚力文化
002253,川大智胜
002256,兆新股份
002258,利尔化学
002261,拓维信息
002262,恩华药业
002267,陕天然气
002279,久其软件
002283,天润工业
002284,亚太股份
002287,奇正藏药
002292,奥飞娱乐
002293,罗莱生活
002298,中电兴发
002301,齐心集团
002303,美盈森
002305,南国置业
002307,北新路桥
002309,中利集团
002313,日海智能
002314,南山控股
002318,久立特材
002320,海峡股份
002321,*ST华英
002322,理工环科
002326,永太科技
002327,富安娜
002329,皇氏集团
002335,科华数据
002341,新纶新材
002343,慈文传媒
002346,柘中股份
002349,精华制药
002351,漫步者
002355,兴民智通
002356,*ST赫美
002362,汉王科技
002364,中恒电气
002367,康力电梯
002370,亚太药业
002376,新北洋
002377,国创高新
002378,章源钨业
002382,蓝帆医疗
002383,合众思壮
002387,维信诺
002388,新亚制程
002389,航天彩虹
002393,力生制药
002396,星网锐捷
002401,中远海科
002402,和而泰
002409,雅克科技
002413,雷科防务
002418,康盛股份
002419,天虹股份
002421,达实智能
002425,凯撒文化
002428,云南锗业
002429,兆驰股份
002430,杭氧股份
002432,九安医疗
002433,太安堂
002436,兴森科技
002443,金洲管道
002446,盛路通信
002447,*ST晨鑫
002448,中原内配
002449,国星光电
002451,摩恩电气
002453,华软科技
002458,益生股份
002461,珠江啤酒
002462,嘉事堂
002464,*ST众应
002467,二六三
002474,榕基软件
002481,双塔食品
002484,江海股份
002485,雪松发展
002488,金固股份
002497,雅化集团
002501,*ST利源
002502,鼎龙文化
002510,天汽模
002511,中顺洁柔
002515,金字火腿
002516,旷达科技
002518,科士达
002519,银河电子
002521,齐峰新材
002522,浙江众成
002530,金财互联
002531,天顺风能
002534,杭锅股份
002537,海联金汇
002538,司尔特
002539,云图控股
002540,亚太科技
002542,中化岩土
002543,万和电气
002545,东方铁塔
002547,春兴精工
002550,千红制药
002554,惠博普
002556,辉隆股份
002557,洽洽食品
002562,兄弟科技
002564,天沃科技
002567,唐人神
002568,百润股份
002574,明牌珠宝
002577,雷柏科技
002581,未名医药
002582,好想你
002584,西陇科学
002585,双星新材
002586,*ST围海
002590,万安科技
002596,海南瑞泽
002597,金禾实业
002605,姚记科技
002609,捷顺科技
002610,爱康科技
002611,东方精工
002614,奥佳华
002616,长青集团
002617,露笑科技
002618,*ST丹邦
002619,*ST艾格
002622,融钰集团
002626,金达威
002630,华西能源
002631,德尔未来
002636,金安国纪
002638,勤上股份
002643,万润股份
002647,仁东控股
002648,卫星石化
002649,博彦科技
002650,加加食品
002651,利君股份
002653,海思科
002656,ST摩登
002657,中科金财
002658,雪迪龙
002662,京威股份
002664,长鹰信质
002668,ST奥马
002675,东诚药业
002677,浙江美大
002685,华东重机
002695,煌上煌
002697,红旗连锁
002698,博实股份
002703,浙江世宝
002705,新宝股份
002711,欧浦退
002712,思美传媒
002716,金贵银业
002717,岭南股份
002721,金一文化
002726,龙大肉食
002727,一心堂
002733,雄韬股份
002737,葵花药业
002742,三圣股份
002746,仙坛股份
002747,埃斯顿
002751,易尚展示
002752,昇兴股份
002756,永兴材料
002759,天际股份
002766,*ST索菱
002768,国恩股份
002769,普路通
002772,众兴菌业
002781,奇信股份
002782,可立克
002788,鹭燕医药
002792,通宇通讯
002801,微光股份
002812,恩捷股份
002821,凯莱英
002822,中装建设
002833,弘亚数控
002840,华统股份
002850,科达利
002851,麦格米特
002852,道道全
002859,洁美科技
002867,周大生
002872,ST天圣
002895,川恒股份
002901,大博医疗
002906,华阳集团
002907,华森制药
002911,佛燃能源
002912,中新赛克
002918,蒙娜丽莎
002928,华夏航空
002929,润建股份
002930,宏川智慧
300005,探路者
300006,莱美药业
300007,汉威科技
300008,天海防务
300009,安科生物
300011,鼎汉技术
300012,华测检测
300014,亿纬锂能
300016,北陆药业
300020,银江技术
300021,大禹节水
300031,宝通科技
300034,钢研高纳
300036,超图软件
300037,新宙邦
300038,*ST数知
300039,上海凯宝
300044,*ST赛为
300045,华力创通
300047,天源迪科
300048,合康新能
300050,世纪鼎利
300053,欧比特
300054,鼎龙股份
300061,旗天科技
300064,*ST金刚
300065,海兰信
300066,三川智慧
300068,南都电源
300073,当升科技
300075,数字政通
300077,国民技术
300078,思创医惠
300079,数码视讯
300083,创世纪
300085,银之杰
300091,金通灵
300096,易联众
300097,智云股份
300098,高新兴
300100,双林股份
300101,振芯科技
300102,乾照光电
300109,新开源
300110,华仁药业
300114,中航电测
300118,东方日升
300123,亚光科技
300128,锦富技术
300130,新国都
300131,英唐智控
300137,先河环保
300140,中环装备
300143,盈康生命
300145,中金环境
300148,天舟文化
300149,睿智医药
300157,恒泰艾普
300158,振东制药
300160,秀强股份
300170,汉得信息
300171,东富龙
300172,中电环保
300173,福能东方
300176,派生科技
300177,中海达
300178,*ST腾邦
300180,华峰超纤
300183,东软载波
300184,力源信息
300185,通裕重工
300188,美亚柏科
300191,潜能恒信
300194,福安药业
300198,纳川股份
300203,聚光科技
300205,天喻信息
300207,欣旺达
300208,青岛中程
300209,天泽信息
300212,易华录
300213,佳讯飞鸿
300215,电科院
300219,鸿利智汇
300221,银禧科技
300222,科大智能
300223,北京君正
300224,正海磁材
300226,上海钢联
300228,富瑞特装
300229,拓尔思
300231,银信科技
300232,洲明科技
300233,金城医药
300236,上海新阳
300237,美晨生态
300238,冠昊生物
300242,佳云科技
300245,天玑科技
300248,新开普
300252,金信诺
300255,常山药业
